X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.019579907,4.74263151284435,354658,A001130341,10507513,2020/01/07 00:00:00+00,2020,CON MUERTOS,ATROPELLO,USAQUEN
-74.104201605,4.70871797884543,354659,A001129985,10507514,2020/01/03 00:00:00+00,2020,CON HERIDOS,ATROPELLO,ENGATIVA
-74.136828404,4.59696578484911,354660,A001129867,10507515,2020/01/06 00:00:00+00,2020,CON HERIDOS,CHOQUE,PUENTE ARANDA
-74.137690537,4.70716471684553,354661,A001129207,10507516,2020/01/04 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,ENGATIVA
-74.0785163749999,4.75772064384389,354662,A001129428,10507517,2020/01/06 00:00:00+00,2020,CON HERIDOS,CHOQUE,SUBA
-74.1639578959999,4.56957167384997,354663,A001062293,10507537,2020/01/06 00:00:00+00,2020,CON HERIDOS,CHOQUE,CIUDAD BOLIVAR
-74.1468024599999,4.67670746284652,354664,A001129295,10507546,2020/01/07 00:00:00+00,2020,CON HERIDOS,CHOQUE,FONTIBON
-74.1293259459999,4.56067019785025,354665,A001130058,10507552,2020/01/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.172412638,4.63767877784778,354666,A001129904,10507555,2020/01/07 00:00:00+00,2020,CON HERIDOS,ATROPELLO,KENNEDY
-74.102169056,4.58702008084942,354667,A001127457,10507556,2020/01/07 00:00:00+00,2020,CON HERIDOS,CHOQUE,ANTONIO NARIÑO
-74.0749195129999,4.61853295884839,354668,A001129182,10507569,2020/01/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.0645689899999,4.64962079384737,354669,A001130215,10507571,2020/01/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.072594909,4.58704806784942,354670,A001129885,10507572,2020/01/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,SANTA FE
-74.049714299,4.75764266684385,354671,A001128982,10507575,2020/01/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.053775002,4.66620563784686,354672,A001129910,10507576,2020/01/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.179909279,4.61823567584839,354705,A001130417,10507847,2020/01/09 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.153145092,4.67518333084653,354711,A001133598,10510884,2020/02/13 00:00:00+00,2020,CON HERIDOS,ATROPELLO,FONTIBON
-74.1154753989999,4.59225051484925,354712,A001133359,10510898,2020/02/12 00:00:00+00,2020,CON HERIDOS,CHOQUE,PUENTE ARANDA
-74.0815738809999,4.60106305684894,354713,A001130579,10510908,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,SANTA FE
-74.081756919,4.69936411384577,354714,A001133101,10510920,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.164139997,4.59599124584912,354715,A001133814,10510935,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,BOSA
-74.089529149,4.69573941684586,354716,A001134697,10512738,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.081268747,4.6708006758467,354717,A001134675,10512746,2020/03/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.079418994,4.6338425328479,354718,A001135451,10512747,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.076784916,4.60219963484891,354719,A001134915,10512756,2020/03/02 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,SANTA FE
-74.067272599,4.65202957484728,354720,A001132555,10512757,2020/02/05 00:00:00+00,2020,CON HERIDOS,CHOQUE,BARRIOS UNIDOS
-74.105549407,4.74933016084414,354721,A001134750,10512758,2020/02/29 00:00:00+00,2020,CON HERIDOS,CHOQUE,SUBA
-74.150227996,4.56302317785018,354722,A001135553,10512759,2020/03/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR
-74.092662143,4.68512987284623,354723,A001134987,10512760,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.069753928,4.72304743484501,354724,A001135364,10512763,2020/03/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.088234163,4.60670732684876,354725,A001134614,10512770,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.1283864499999,4.64182773184761,354726,A001135297,10512781,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.0607447529999,4.72670160384484,354727,A001134602,10512785,2020/03/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
